,actor_id,issuecomment,openissue,openPR,reviewcomment,mergePR,label,participation_score,code_contribution_score
735,60559247,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
736,60848081,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
737,61099346,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
738,61105590,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
739,61349199,6.0,0.0,10.0,52.0,4.0,1,6.0,258.0
740,61376672,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
741,61457502,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
742,61509470,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
743,61540018,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
744,61573829,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
745,61689247,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
746,61724827,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
747,61859193,1.0,2.0,0.0,0.0,0.0,0,5.0,0.0
748,61966605,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
749,62001364,0.0,0.0,2.0,0.0,2.0,0,0.0,16.0
750,62179813,3.0,1.0,0.0,0.0,0.0,0,5.0,0.0
751,62205283,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
752,62227361,2.0,6.0,0.0,0.0,0.0,0,14.0,0.0
753,62319461,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
754,62320922,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
755,62455172,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
756,62497608,5.0,0.0,0.0,0.0,0.0,0,5.0,0.0
757,62569058,35.0,0.0,25.0,78.0,19.0,1,35.0,482.0
758,62750472,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
759,62833940,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
760,62922815,10.0,0.0,0.0,0.0,0.0,0,10.0,0.0
761,62974595,2.0,0.0,18.0,25.0,8.0,1,2.0,194.0
762,62975073,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
764,63039798,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
765,63115081,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
766,63340684,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
767,63343847,4.0,0.0,0.0,0.0,0.0,0,4.0,0.0
768,63446546,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
769,63526175,0.0,0.0,1.0,0.0,0.0,0,0.0,3.0
770,63985311,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
771,64118875,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
772,64632901,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
773,64730376,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
774,64762766,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
775,64831773,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
776,64840648,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
777,65107368,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
778,65168575,11.0,1.0,0.0,0.0,0.0,0,13.0,0.0
779,65226441,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
780,65387582,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
781,65493934,0.0,0.0,7.0,0.0,2.0,1,0.0,31.0
782,65750219,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
783,65996354,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
784,66041642,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
785,66046309,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
786,66538098,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
787,66579493,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
788,66627544,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
789,66725845,9.0,3.0,0.0,0.0,0.0,0,15.0,0.0
790,66763551,12.0,0.0,0.0,0.0,0.0,0,12.0,0.0
791,66868438,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
792,66876429,17.0,4.0,0.0,0.0,0.0,0,25.0,0.0
793,66960705,5.0,1.0,0.0,0.0,0.0,0,7.0,0.0
794,67057091,8.0,0.0,6.0,40.0,5.0,1,8.0,203.0
795,67140264,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
796,67897601,1.0,4.0,0.0,0.0,0.0,0,9.0,0.0
797,67900879,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
798,68137091,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
799,68210528,1.0,1.0,3.0,1.0,2.0,1,3.0,23.0
800,68314259,20.0,2.0,0.0,0.0,0.0,0,24.0,0.0
801,68360383,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
802,68405256,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
803,68497831,1.0,2.0,0.0,0.0,0.0,0,5.0,0.0
